Product,Price,Shipping 
TUG Patented 360° Tangle-Free | Heavy Duty Retractable Dog Leash with Anti-Slip Handle; 16 ft Strong Nylon Tape/Ribbon; One-Handed Brake | Pause | Lock,$19.99 ,
ladoogo 2 Pack 5 FT Heavy Duty Dog Leash with Comfortable Padded Handle Reflective Dog leashes for Medium Large Dogs,$12.99 ,
BAAPET 5 FT Strong Dog Leash with Comfortable Padded Handle and Highly Reflective Threads Dog Leashes for Medium and Large Dogs,$9.89 ,
Bolux 5ft Dog Leash | Heavy Duty Rope Leash with 2 Padded Handle – Pet Training Lead with 3M Reflective Double Handle for Traffic Control Safety | Perfect for Large Medium or Small Dog,$9.99 ,
"MayPaw Heavy Duty Rope Dog Leash | 1/2"" x 6FT Nylon Pet Training Leash | Soft Padded Handle Thick Lead Leash for Large Medium Dogs",$8.99 ,
PetSafe Nylon Dog Leash | Strong and Durable Traditional Style Leash with Easy to Use Collar Hook | Available in Multiple Widths and Colors,$7.99 ,
Fida Retractable Dog Leash | 16ft Heavy Duty Pet Walking Leash for X-Small/Small/Medium/Large Dog or Cat up to 110 lbs | Tangle Free. One-Hand Brake,$11.49 ,
Vivaglory Dog Leash Traffic Padded Two Handles | Heavy Duty Reflective Leashes for Control Safety Training | Walking Lead for Small to Large Dogs,$10.99 ,
IOKHEIRA Dog Leash | 4-in-1 Multifunctional Dog Leashes for Medium & Large Dogs with Car Seat Belt | 6 FT Strong Shock Absorbing Bungee Dog Leash with Padded Handles and Highly Reflective Threads,$19.99 ,
COOYOO 2 Pack Dog Leash 5 FT Heavy Duty Radiant Colors | Reflective Rope - Padded Handle - Reflective Dog Leash for Medium Large Dogs with Collapsible Pet Bowl,$10.79 ,
Primal Pet Gear Dog Leash 6ft Long - New Stronger Clip - Traffic Padded Two Handle - Heavy Duty - Double Handles Lead for Control Safety Training - Leashes for Large Dogs or Medium Dogs,$13.95 ,
Taida Strong Durable Nylon Dog Training Leash | Traction Rope | 6 Feet Long | 1 Inch Wide | for Small and Medium Dog,$5.99 ,
iYoShop Strong Dog Leash with Comfortable Padded Handle and Highly Reflective Threads Dog Leashes for Medium and Large Dogs,$6.99 ,
Max and Neo Reflective Nylon Dog Leash - We Donate a Leash to a Dog Rescue for Every Leash Sold,$10.99 ,
Friends Forever Extremely Durable Dog Slip Rope Leash | Premium Quality Mountain Climbing Rope Lead | Strong | Sturdy Comfortable Leash Supports The Strongest Pulling Large Medium Dogs 6 feet,$12.99 ,
Mycicy Rope Dog Leash - 6 Foot Reflective Dog Leash - Mountain Climbing Nylon Braided Heavy Duty Dog Training Leash for Large and Medium Dogs Walking Leads,$10.75 ,
